Symbol,best_description,functional_category,pleiotropy_class,master_score,Peak -logP_adipose,Effect Size_adipose,genomic_context_adipose,tier_adipose,Peak -logP_liver,Effect Size_liver,genomic_context_liver,tier_liver,same_direction,peak_distance_mb
Ptgr1,prostaglandin reductase 1,other,shared_cis_conserved,56.831,57.2,-0.938,promoter,Tier_2_Validate,42.9,-0.652,promoter,Tier_2_Validate,True,0.0
Acot5,acyl-CoA thioesterase 5,lipid_metabolism,shared_cis_conserved,56.171,59.6,0.985,proximal,Tier_2_Validate,35.6,0.836,proximal,Tier_2_Validate,True,0.0
Ces1f,carboxylesterase 1F,other,shared_cis_conserved,56.015,71.2,0.935,proximal,Tier_1_HighConfidence,27.9,0.629,proximal,Tier_2_Validate,True,0.0
Timd4,T-cell immunoglobulin and mucin domain containing 4,immune,shared_cis_conserved,55.914,20.2,-0.523,proximal,Tier_2_Validate,53.7,-1.547,promoter,Tier_2_Validate,True,0.163
Kif15,kinesin family member 15,other,shared_cis_conserved,55.633,72.5,-0.713,proximal,Tier_2_Validate,56.5,-1.237,proximal,Tier_2_Validate,True,0.0
Vom2r44,vomeronasal 2 receptor 44,signaling,shared_cis_conserved,55.232,78.0,0.613,distal_cis,Tier_1_HighConfidence,46.7,1.243,proximal,Tier_2_Validate,True,2.035
RT1-A1,"RT1 class Ia, locus A1",other,shared_cis_conserved,55.172,23.4,-0.696,distal_cis,Tier_2_Validate,48.1,-1.886,proximal,Tier_1_HighConfidence,True,0.836
RT1-CE4,"RT1 class I, locus CE4",other,shared_cis_conserved,55.039,27.8,0.392,promoter,Tier_2_Validate,63.1,1.144,distal_cis,Tier_2_Validate,True,1.401
Asrgl1,asparaginase and isoaspartyl peptidase 1,proteolysis,shared_cis_conserved,54.917,67.7,-0.684,proximal,Tier_2_Validate,60.2,-0.773,proximal,Tier_2_Validate,True,0.0
Rtn4ip1,reticulon 4 interacting protein 1,other,shared_cis_conserved,54.891,62.5,0.516,promoter,Tier_2_Validate,43.6,0.657,promoter,Tier_2_Validate,True,0.0
Clybl,citramalyl-CoA lyase,lipid_metabolism,shared_cis_conserved,54.36,68.6,-0.614,proximal,Tier_2_Validate,56.1,-0.837,proximal,Tier_2_Validate,True,0.0
St6galnac2,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",lipid_metabolism,shared_cis_conserved,53.172,33.4,-0.626,promoter,Tier_2_Validate,29.9,-0.925,promoter,Tier_2_Validate,True,0.0
Shbg,sex hormone binding globulin,other,shared_cis_conserved,53.17,41.4,-0.544,promoter,Tier_2_Validate,21.6,-0.675,promoter,Tier_2_Validate,True,0.0
Lyc2,lysozyme C type 2,other,shared_cis_flip,53.149,131.8,3.241,proximal,Tier_1_HighConfidence,120.9,-2.09,proximal,Tier_1_HighConfidence,False,0.0
Slc16a5,solute carrier family 16 member 5,other,shared_cis_conserved,53.078,33.8,0.83,proximal,Tier_2_Validate,32.1,1.288,proximal,Tier_2_Validate,True,0.542
Calr3,calreticulin 3,other,shared_cis_conserved,53.062,51.4,0.43,promoter,Tier_2_Validate,43.1,0.577,promoter,Tier_2_Validate,True,0.0
Tmem116,transmembrane protein 116,other,shared_cis_conserved,52.944,23.1,-0.388,proximal,Tier_2_Validate,56.0,-1.357,proximal,Tier_2_Validate,True,0.0
Nat8f2,N-acetyltransferase 8 (GCN5-related) family member 2,lipid_metabolism,shared_cis_conserved,52.796,41.0,0.97,proximal,Tier_2_Validate,25.6,0.522,proximal,Tier_2_Validate,True,0.625
Siglec5,sialic acid binding Ig-like lectin 5,other,shared_cis_conserved,52.705,44.5,-0.585,proximal,Tier_2_Validate,44.9,-1.272,distal_cis,Tier_2_Validate,True,0.513
Trim45,tripartite motif-containing 45,other,shared_cis_conserved,52.664,39.9,-0.487,proximal,Tier_2_Validate,60.0,-0.928,proximal,Tier_2_Validate,True,0.0
